Date,Close,Open,High,Low,Return,Return%,Log Return,Log Return-3d,Log Return-5d,SMA-5d,SMA-8d,SMA-13d,SMA-21d,EMA-5d,EMA-8d,EMA-12d,EMA-26d,RSI-14d,RSI-21d,UpperBollingerBand,LowerBollingerBand,MACD,Stoc%K,TR,ATR,Gain,Loss,,,,,
4/15/2025,5396.63,5411.99,5450.41,5386.44,-120.93,-0.022408429,-2.082534053,-2.377360899,-1.317436497,5296.141667,5368.397778,5456.19,5567.679545,5333.429026,5363.482382,5415.102677,5566.096434,37.78379383,27.92982337,5434.798444,5157.484889,-150.9937564,92.83027558,174.71,128.52,120.93,0,,,,,
4/14/2025,5405.97,5441.96,5459.46,5358.02,-9.34,-0.00172772,-0.970346876,-2.090857396,-2.072654217,5301.16,5354.755556,5438.732143,5544.454091,5357.609351,5372.924075,5413.69765,5554.235216,35.21469275,29.09265895,5452.21919,5150.10081,-140.5375664,100,62.83,96.54,9.34,0,,,,,
4/11/2025,5363.36,5255.56,5381.46,5220.77,42.61,0.007944647,1.629511534,-1.942801466,-2.31209269,5313.76,5336.772222,5415.638571,5520.398636,5359.526234,5370.798725,5405.953396,5540.096311,30.59014228,28.20604677,5495.947354,5131.572646,-134.1429153,50.46862589,150.41,140.186,0,42.61,,,,,
4/10/2025,5268.05,5353.15,5353.15,5115.27,95.31,0.018092083,1.97913847,2.109173421,1.165837625,5332.068333,5312.692222,5391.632143,5492.285,5329.034156,5347.965675,5384.737489,5519.944733,30.12783369,27.01434658,5443.07747,5221.059197,-135.2072438,60.16915192,10.21,157.91,0,95.31,,,,,
4/9/2025,5456.9,4965.28,5481.34,4948.43,-188.85,-0.034607561,-2.276116989,-1.706973676,-2.258158193,5361.101667,5321.696667,5383.620714,5474.680909,5371.656104,5372.173303,5395.839414,5515.274753,44.38863318,41.93014954,5479.074962,5243.128371,-119.4353388,100,302.77,198.104,188.85,0,,,,,
4/8/2025,4982.77,5193.57,5267.47,4910.42,474.13,0.0951539,2.675897436,2.580457373,2.616853453,5312.28,5287.808889,5342.330714,5443.901818,5242.027403,5285.639235,5332.290273,5475.829956,30.275029,30.28942145,5437.684224,5186.875776,-143.5396829,0,263.33,214,0,474.13,,,,,
4/7/2025,5062.25,4953.79,5246.57,4835.04,-79.48,-0.015700528,-1.900257858,2.31344537,2.536204803,5256.55,5277.147778,5309.009286,5416.552273,5182.101602,5235.997183,5290.745616,5445.194404,34.58055133,33.96872799,5592.897529,4920.202471,-154.448788,16.76333495,263.8,297.048,79.48,0,,,,,
4/4/2025,5074.08,5292.14,5292.14,5069.9,-11.83,-0.002331457,-1.072984745,2.582994619,2.461318409,5201.235,5253.967778,5276.785714,5391.225,5146.094401,5200.015587,5257.412444,5417.704448,35.16985648,34.88176778,5558.920292,4843.549708,-160.2920039,13.26794536,229.89,296.252,11.83,0,,,,,
4/3/2025,5396.52,5492.74,5499.53,5390.83,-322.44,-0.059749616,-2.508448912,-2.616738007,-2.108801724,5206.761667,5267.392222,5270.482143,5381.661818,5229.569601,5243.683234,5278.813607,5416.13523,47.55267639,43.78153813,5550.603623,4862.91971,-137.321623,54.91358917,425.45,258.274,322.44,0,,,,,
4/2/2025,5670.97,5580.76,5695.31,5571.48,-274.45,-0.048395601,-2.438463235,-2.784417571,-2.330555809,5273.915,5297.874444,5291.561429,5382.597727,5376.703067,5338.635849,5339.145359,5435.011879,57.49569476,49.65560206,5660.165149,4887.664851,-95.86651987,100,298.79,226.546,274.45,0,,,,,
